,benign,malignant,normal
benign,0.03543916108732548,0.034253567589590236,0.02154564668168573
malignant,0.06303962022080607,0.06948880897154823,0.02973081560842066
normal,0.07457436939526754,0.034172577595850975,0.07603298722435996
