,benign,malignant,normal
benign,0.8627906976744185,0.07790697674418605,0.05930232558139535
malignant,0.11794871794871795,0.8384615384615385,0.04358974358974359
normal,0.11935483870967742,0.04193548387096774,0.8387096774193548
