,normal,malignant,benign
benign,0.019277108433734907,0.06385542168674693,0.9168674698795181
malignant,0.07272727272727268,0.7272727272727273,0.19999999999999998
normal,0.8192307692307692,0.1461538461538461,0.03461538461538458
