,normal,malignant,benign
benign,0.01414202157562972,0.024129829535421376,0.03284836152076872
malignant,0.0464536658083512,0.05669177858748397,0.046453665808351204
normal,0.04459622341263098,0.030338870682562167,0.04604688460530245
