,benign,malignant,normal
benign,0.04803700274365785,0.042264060693128616,0.024788026287317032
malignant,0.06778591473127642,0.06186995237898754,0.04562853953859535
normal,0.0648735618451542,0.035500159181116514,0.0663711800516601
